statuses_count,followers_count,friends_count,favourites_count,listed_count,lang,location
20370,5470,2385,145,52,it,Roma
3131,506,381,9,40,en,"Rome, Italy"
4024,264,87,323,16,en,Internets
1234,15,104,1150,0,en,India
573,14,227,530,0,en,Rio de Janeiro
10947,760,712,693,27,it,Rome
2754,477,218,224,13,it,Rome
26713,1390,1177,914,68,en,Amsterdam
4111,314,338,47,8,it,Rome
1441,97,203,25,2,it,Rome
1698,289,1930,45,3,it,Greenland
402,93,78,36,4,it,Rome
44,21,614,0,0,en,pontianak
66,23,650,0,0,en,malaysia
56,20,643,0,0,en,WORLDWIDE
65,23,641,0,0,en,"Fairburn, GA"
79,20,779,0,0,en,Arizona
59,16,622,0,0,en,"bangalore, india"
64,15,649,0,0,en,Canada
6996,899,305,346,28,en,Rome
3284,375,1039,1,8,en,Rome
160,46,146,22,0,fr,Paris
292,57,110,5,0,en,Greenland
5876,616,647,1061,29,it,Rome
7534,1132,1096,6,52,en,Rome
1294,254,276,89,8,it,Rome
56,19,686,0,0,en,New York at the moment
59,24,619,0,0,en,Jakarta
58,23,603,0,0,en,wherever your heart is
57,27,602,0,0,en,"Tolland, Connecticut"
55,21,614,0,0,en,Badaha
59,16,599,0,0,en,in Paris :]
63,20,663,0,0,en,The wild side
62,24,598,0,0,en,Im Everywhere
3694,393,1047,6,8,en,Miami Beach
9686,208,196,219,4,it,
16427,555,755,8,18,en,"46.140645,11.110448"
1006,85,121,19,1,en,Monza
1122,300,951,8,6,it,Turin - Italy
1386,88,267,106,0,en,Rosà - North-East of Italy
18267,1964,2003,22732,4,it,"September 1, Platform 9 ¾ "
15365,3813,1505,550,63,en,"45.472137,9.208698"
2242,552,1446,13,8,en,"Paris, Europe"
